NAME	adipose.stem.cells	B.cells	CD4..T.cells	CD8..T.cells	chondrocytes	endothelial.cells	eosinophils	erythroblasts	fibroblasts	keratinocytes	macrophages	mesenchymal.stromal.cells	monocytes	myeloid.dendritic.cells	neutrophils	NK.cells	osteoblasts	pc.adipocytes	plasmacytoid.dendritic.cells	platelets	sc.adipocytes	smooth.muscle.cells
PGF	101.5110617	78.7433746	53.96352376	67.5898488	71.4954144	3074.662523	63.2579104	231.1327669	405.0053191	440.2471386	68.41520726	1061.337446	89.27214531	97.36034422	105.8586567	57.98250401	173.3689936	113.1521282	78.38477197	114.6844252	153.8050094	87.61510005
TMEM47	2110.327552	34.80488076	32.83783265	40.9443467	1467.513718	454.3405234	46.2112588	45.83434996	2589.192311	54.93319756	30.66514878	1186.868789	35.47271388	29.00247723	35.11057427	35.39935224	1476.721306	67.62825518	32.03504756	31.56033049	61.56523084	2138.274336
TRAC	56.00618044	329.0177049	7256.455032	7837.487136	68.85699496	140.1712632	60.64352027	366.0022113	146.9041013	266.4477466	173.1866821	97.31052472	237.0530395	224.2385908	501.0574016	434.9681859	84.63374171	280.6312152	107.2366689	1640.019461	202.5886126	148.1967383
YME1L1	95.55450587	464.0699593	7289.940514	7226.516398	147.7520165	239.6033321	344.8484818	688.4008346	102.286324	228.223237	409.1027069	134.0338432	393.7529204	223.7643945	582.4336821	586.0151915	188.87684	173.8691302	222.7835023	435.0353206	154.9392855	179.950912
S100B	19.63904613	66.58750345	40.61569896	665.6205788	108.3972851	38.13485863	25.24623564	81.6434653	30.23095377	30.97893077	61.88029553	76.88601307	58.16682241	426.7916622	50.86052207	424.71017	35.42136848	1411.002534	60.81278762	127.9271453	1719.730706	25.46250552
CXCL12	5543.598978	28.6606795	21.91871296	24.47901481	3784.640488	125.1614799	23.10575859	49.01427617	11254.51647	31.02040226	24.74914019	8529.233506	31.95985796	34.2868563	27.03633923	28.1066238	7166.265695	6723.060675	36.88803412	27.2293086	6770.849712	10811.07283
FBP1	92.07646525	133.8713227	314.5807382	161.2304531	80.07624776	161.8970479	2472.102376	90.45469081	77.44230317	99.42720682	8394.455569	86.5126292	1433.881338	1147.442132	286.0712978	373.1822482	83.95154405	335.6906504	449.3683992	125.4719566	423.4911736	116.5251215
SERPINB3	59.12298219	54.89624946	34.87354009	44.12523744	36.56936758	32.91341784	48.44073661	36.05700664	39.74874636	3987.888616	43.35410728	54.52022154	40.97642758	29.74368799	54.23221344	38.34581857	27.73197402	29.41794923	26.34359474	61.21150737	25.99876406	35.49561062
GM2A	206.8798557	308.513249	103.9199532	316.8847372	224.6119976	248.6228492	180.089372	479.1903124	396.269005	207.9154378	5296.345586	209.9138295	286.8652573	151.0568474	158.1106082	136.8607491	119.487622	57.74266618	177.4581863	141.015496	67.3637584	280.5461723
HLA-DRB4	59.37030756	4278.913826	347.7027163	210.5686255	56.24834361	70.72279143	501.2757309	117.5049626	84.74834933	75.05124273	487.145432	121.3208633	2250.106884	7286.393667	152.8812463	331.4977452	142.2431451	136.1102161	3109.942676	467.200428	2382.497675	73.01979143
